temp order chi cb u
5 0.0844293 0.000806348 0.0957315 0.0135546 
4.93797 0.085357 0.000833038 0.101119 0.0178247 
4.87595 0.0859473 0.000859527 0.107392 0.0136114 
4.81392 0.0870898 0.000895725 0.114071 0.0148932 
4.7519 0.0876296 0.000920494 0.119914 0.0101326 
4.68987 0.0888092 0.000953716 0.127511 0.0122329 
4.62785 0.0895779 0.00098107 0.134651 0.0139623 
4.56582 0.0906007 0.00101464 0.14327 0.0212696 
4.5038 0.0916622 0.00105144 0.152072 0.0186781 
4.44177 0.0929056 0.00109202 0.162888 0.0210853 
4.37975 0.0941936 0.00115007 0.175675 0.014239 
4.31772 0.0951997 0.00118316 0.186798 0.0194826 
4.2557 0.0967208 0.00123889 0.20337 0.0162572 
4.19367 0.0979858 0.0012871 0.215959 0.0224999 
4.13165 0.0995254 0.00134542 0.232003 0.0231954 
4.06962 0.101379 0.00143176 0.257265 0.011007 
4.00759 0.103021 0.00148718 0.277183 0.0264541 
3.94557 0.105327 0.00158772 0.304947 0.0208669 
3.88354 0.106641 0.00164366 0.329052 0.0249585 
3.82152 0.109201 0.0017376 0.361738 0.0313039 
3.75949 0.111636 0.00184156 0.398698 0.0352496 
3.69747 0.115067 0.00199198 0.449112 0.0349236 
3.63544 0.116524 0.00208474 0.493139 0.0314829 
3.57342 0.120311 0.00225312 0.552971 0.0399862 
3.51139 0.122776 0.00238009 0.611556 0.0438074 
3.44937 0.126506 0.00257792 0.696086 0.0460764 
3.38734 0.131847 0.00283012 0.810247 0.0489031 
3.32532 0.134592 0.00302483 0.913549 0.0424116 
3.26329 0.141352 0.00332844 1.07451 0.0619474 
3.20127 0.147757 0.00368885 1.26106 0.0694884 
3.13924 0.154313 0.00410461 1.51728 0.0695691 
3.07722 0.160404 0.00449798 1.77139 0.0749118 
3.01519 0.168257 0.00501006 2.10965 0.0891141 
2.95316 0.180285 0.0057854 2.69533 0.106685 
2.89114 0.192049 0.00664806 3.36882 0.118249 
2.82911 0.207371 0.00777767 4.39349 0.134129 
2.76709 0.223108 0.0091599 5.74628 0.149302 
2.70506 0.24604 0.0109185 7.79956 0.183876 
2.64304 0.273905 0.0128468 10.4415 0.23309 
2.58101 0.319435 0.0161481 15.6084 0.295228 
2.51899 0.370124 0.0192032 21.7933 0.362621 
2.45696 0.439791 0.0224022 30.6372 0.436717 
2.39494 0.521093 0.0236379 38.8634 0.504872 
2.33291 0.627651 0.0207967 42.3451 0.572991 
2.27089 0.715396 0.0156614 38.9893 0.612836 
2.20886 0.789116 0.00934276 29.8142 0.638481 
2.14684 0.83648 0.0060284 22.8495 0.650005 
2.08481 0.875093 0.00327395 15.4115 0.657601 
2.02278 0.904117 0.00165618 9.7485 0.661859 
1.96076 0.922683 0.00115291 7.43451 0.663491 
1.89873 0.938767 0.000761574 5.39115 0.664639 
1.83671 0.950784 0.000541142 4.16227 0.665279 
1.77468 0.960855 0.000386823 3.17934 0.665717 
1.71266 0.968376 0.00030203 2.62291 0.665959 
1.65063 0.97518 0.000212684 1.95465 0.666188 
1.58861 0.980581 0.000156936 1.5283 0.666328 
1.52658 0.984837 0.000120498 1.2314 0.666419 
1.46456 0.98838 8.92271e-05 0.958115 0.666491 
1.40253 0.991306 6.61642e-05 0.748754 0.666543 
1.34051 0.993559 4.90216e-05 0.583802 0.666579 
1.27848 0.99535 3.52711e-05 0.442555 0.666607 
1.21646 0.996707 2.58408e-05 0.341447 0.666625 
1.15443 0.99776 1.75896e-05 0.245849 0.66664 
1.09241 0.998531 1.1732e-05 0.17379 0.66665 
1.03038 0.999057 7.87044e-06 0.123728 0.666656 
0.968354 0.999438 4.83306e-06 0.0809774 0.66666 
0.906329 0.999695 2.75899e-06 0.049449 0.666663 
0.844304 0.999848 1.47214e-06 0.0283171 0.666665 
0.782278 0.999929 7.277e-07 0.0151047 0.666666 
0.720253 0.999968 3.5785e-07 0.00806936 0.666666 
0.658228 0.999989 1.29176e-07 0.00318893 0.666667 
0.596203 0.999997 4.50253e-08 0.0012269 0.666667 
0.534177 0.999999 1.19963e-08 0.000363615 0.666667 
0.472152 1 0 0 0.666667 
0.410127 1 0 0 0.666667 
0.348101 1 0 0 0.666667 
0.286076 1 0 0 0.666667 
0.224051 1 0 0 0.666667 
0.162025 1 0 0 0.666667 
0.1 1 0 0 0.666667 
